,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,victoria point,AU,2020-09-29 15:08:24,-27.58,153.3,40,59,65.26400000000004,6.2
1,pochutla,MX,2020-09-29 15:06:40,15.74,-96.47,90,70,86.26999999999995,5.1
2,tateyama,JP,2020-09-29 15:08:24,34.98,139.87,67,72,64.66999999999996,6.2
3,saskylakh,RU,2020-09-29 15:08:25,71.92,114.08,15,97,25.64600000000005,2.76
4,wichita falls,US,2020-09-29 15:03:30,33.91,-98.49,1,13,82.66999999999996,2.6
5,baie-comeau,CA,2020-09-29 15:05:21,49.22,-68.15,1,82,61.069999999999965,4.1
6,saleaula,,,,,,,,
7,jutai,BR,2020-09-29 15:08:26,-5.18,-68.9,100,68,84.29000000000002,0.36
8,ilo,PE,2020-09-29 15:08:26,-17.64,-71.34,31,76,62.58200000000002,2.72
9,avarua,CK,2020-09-29 15:05:37,-21.21,-159.78,23,74,79.06999999999996,10.3
10,lachi,PK,2020-09-29 15:08:27,33.38,71.34,0,43,77.43200000000002,1.5
11,husavik,IS,2020-09-29 15:08:27,66.04,-17.34,20,77,32.26999999999996,2.1
12,tooele,US,2020-09-29 15:03:41,40.53,-112.3,1,26,73.27400000000002,3.1
13,leningradskiy,RU,2020-09-29 15:08:28,69.38,178.42,86,79,36.68000000000004,3.97
14,new norfolk,AU,2020-09-29 15:08:28,-42.78,147.06,100,75,50.26999999999996,0.92
15,zhezkazgan,KZ,2020-09-29 15:08:28,47.8,67.71,0,68,50.26999999999996,5.18
16,punta arenas,CL,2020-09-29 15:04:12,-53.15,-70.92,40,80,35.86999999999996,17.5
17,ambilobe,MG,2020-09-29 15:08:29,-13.2,49.05,8,90,71.13200000000002,1.1
18,corlu,TR,2020-09-29 15:08:30,41.16,27.8,75,87,59.26999999999996,1.5
19,roald,NO,2020-09-29 15:08:30,62.58,6.13,100,100,52.069999999999965,2.1
20,hobart,AU,2020-09-29 15:08:30,-42.88,147.33,90,71,53.86999999999996,4.6
21,mataura,NZ,2020-09-29 15:08:31,-46.19,168.86,100,91,43.26799999999999,2.68
22,ushuaia,AR,2020-09-29 15:05:49,-54.8,-68.3,75,69,37.66999999999996,11.3
23,taolanaro,,,,,,,,
24,kodiak,US,2020-09-29 15:08:31,57.79,-152.41,90,76,52.069999999999965,11.8
25,halalo,,,,,,,,
26,dakar,SN,2020-09-29 15:14:02,14.69,-17.44,0,83,82.66999999999996,2.1
27,rikitea,PF,2020-09-29 15:08:32,-23.12,-134.97,27,78,70.64600000000004,9.08
28,champerico,GT,2020-09-29 15:08:32,14.3,-91.92,40,70,86.26999999999995,6.2
29,provideniya,RU,2020-09-29 15:08:33,64.38,-173.3,90,75,41.26999999999996,2
30,hermanus,ZA,2020-09-29 15:08:33,-34.42,19.23,8,77,51.27799999999996,0.45
31,ponta do sol,PT,2020-09-29 15:08:34,32.67,-17.1,75,73,70.06999999999996,4.1
32,sechura,PE,2020-09-29 15:08:34,-5.56,-80.82,9,57,72.21199999999996,7.31
33,saint george,US,2020-09-29 15:06:07,37.1,-113.58,1,10,87.27799999999996,0.9
34,atuona,PF,2020-09-29 15:08:35,-9.8,-139.03,15,73,78.60199999999998,8.2
35,vaitape,PF,2020-09-29 15:08:35,-16.52,-151.75,4,77,79.96999999999997,10.18
36,baker,US,2020-09-29 15:06:50,30.59,-91.17,1,33,76.26199999999996,6.2
37,vaini,TO,2020-09-29 15:08:35,-21.2,-175.2,75,88,79.06999999999996,4.1
38,mahajanga,MG,2020-09-29 15:08:36,-15.72,46.32,20,88,73.66999999999996,0.5
39,zamania,IN,2020-09-29 15:08:36,25.43,83.57,52,71,75.52400000000002,1.27
40,thinadhoo,MV,2020-09-29 15:08:37,0.53,72.93,100,76,81.98599999999996,4.83
41,westport,US,2020-09-29 15:04:53,41.14,-73.36,98,99,71.27599999999998,5.35
42,illoqqortoormiut,,,,,,,,
43,dzhusaly,,,,,,,,
44,port alfred,ZA,2020-09-29 15:08:37,-33.59,26.89,58,70,57.25399999999995,2.28
45,hilo,US,2020-09-29 15:08:38,19.73,-155.09,1,66,84.46999999999997,6.2
46,anshun,CN,2020-09-29 15:08:38,26.25,105.93,93,89,58.45999999999998,1.17
47,delcevo,MK,2020-09-29 15:08:39,41.97,22.77,79,88,52.26799999999999,0.89
48,kavieng,PG,2020-09-29 15:08:39,-2.57,150.8,53,72,82.99399999999997,2.16
49,dong hoi,VN,2020-09-29 15:08:39,17.48,106.6,99,81,79.60999999999999,2.71
50,puerto ayora,EC,2020-09-29 15:08:40,-0.74,-90.35,75,69,73.66999999999996,6.2
51,east london,ZA,2020-09-29 15:08:40,-33.02,27.91,100,66,60.061999999999955,1.07
52,gizo,SB,2020-09-29 15:08:41,-8.1,156.84,59,77,82.47200000000004,4.43
53,bluff,NZ,2020-09-29 15:08:41,-46.6,168.33,98,91,43.26799999999999,2.68
54,kapaa,US,2020-09-29 15:08:41,22.08,-159.32,40,66,85.26199999999996,3.6
55,vostochnyy,RU,2020-09-29 15:08:42,55.82,37.87,99,61,53.86999999999996,4
56,yellowknife,CA,2020-09-29 15:08:42,62.46,-114.35,75,70,46.66999999999996,8.2
57,mys shmidta,,,,,,,,
58,lorengau,PG,2020-09-29 15:08:43,-2.02,147.27,49,77,82.976,4.15
59,qaanaaq,GL,2020-09-29 15:08:43,77.48,-69.36,0,80,14.59399999999997,2.96
60,boende,CD,2020-09-29 15:08:43,-0.22,20.87,75,97,70.46600000000001,0.9
61,barrow,US,2020-09-29 15:08:44,71.29,-156.79,90,97,32.26999999999996,4.1
62,waddan,LY,2020-09-29 15:08:44,29.16,16.14,0,67,77.684,5.19
63,suao,,,,,,,,
64,jiddah,,,,,,,,
65,marigot,MF,2020-09-29 15:08:45,18.07,-63.08,40,83,83.26400000000004,7.7
66,tshikapa,CD,2020-09-29 15:08:45,-6.42,20.8,100,89,74.066,0.96
67,pueblo nuevo,MX,2020-09-29 15:08:45,23.38,-105.38,3,45,74.11999999999996,3.21
68,castro,BR,2020-09-29 15:08:46,-24.79,-50.01,63,81,68.97200000000004,2.39
69,sinazongwe,ZM,2020-09-29 15:08:46,-17.26,27.46,6,62,77.52200000000005,1.75
70,chumikan,RU,2020-09-29 15:08:46,54.72,135.31,83,81,43.285999999999966,4.85
71,albany,US,2020-09-29 15:08:24,42.6,-73.97,90,77,63.266000000000005,3.6
72,mehtar lam,AF,2020-09-29 15:08:47,34.67,70.21,44,65,70.26799999999999,1.39
73,calvinia,ZA,2020-09-29 15:08:47,-31.47,19.78,0,44,49.83800000000005,1.02
74,yar-sale,RU,2020-09-29 15:08:48,66.83,70.83,99,78,41.0,2.48
75,tevaitoa,PF,2020-09-29 15:08:48,-16.78,-151.5,6,77,79.79000000000002,10.46
76,rocha,UY,2020-09-29 15:08:48,-34.48,-54.33,0,73,56.28200000000002,3.37
